Date,Open,High,Low,Close,Adj Close,Volume
9/9/2008,1952.140015,1952.140015,1952.140015,1952.140015,1952.140015,0
9/10/2008,1964.25,1964.25,1964.25,1964.25,1964.25,0
9/11/2008,1992,1992,1992,1992,1992,0
9/12/2008,1996.26001,1996.26001,1996.26001,1996.26001,1996.26001,0
9/15/2008,1902.170044,1902.170044,1902.170044,1902.170044,1902.170044,0
9/16/2008,1935.48999,1935.48999,1935.48999,1935.48999,1935.48999,0
9/17/2008,1844.310059,1844.310059,1844.310059,1844.310059,1844.310059,0
9/18/2008,1924.849976,1924.849976,1924.849976,1924.849976,1924.849976,0
9/19/2008,2002.319946,2002.319946,2002.319946,2002.319946,2002.319946,0
9/22/2008,1925.859985,1925.859985,1925.859985,1925.859985,1925.859985,0
9/23/2008,1895.780029,1895.780029,1895.780029,1895.780029,1895.780029,0
9/24/2008,1892.050049,1892.050049,1892.050049,1892.050049,1892.050049,0
9/25/2008,1929.23999,1929.23999,1929.23999,1929.23999,1929.23999,0
9/26/2008,1935.790039,1935.790039,1935.790039,1935.790039,1935.790039,0
9/29/2008,1765.719971,1765.719971,1765.719971,1765.719971,1765.719971,0
9/30/2008,1861.439941,1861.439941,1861.439941,1861.439941,1861.439941,0
10/1/2008,1853.26001,1853.26001,1853.26001,1853.26001,1853.26001,0
10/2/2008,1778.900024,1778.900024,1778.900024,1778.900024,1778.900024,0
10/3/2008,1754.910034,1754.910034,1754.910034,1754.910034,1754.910034,0
10/6/2008,1687.339966,1687.339966,1687.339966,1687.339966,1687.339966,0
10/7/2008,1590.51001,1590.51001,1590.51001,1590.51001,1590.51001,0
10/8/2008,1573.339966,1573.339966,1573.339966,1573.339966,1573.339966,0
10/9/2008,1453.52002,1453.52002,1453.52002,1453.52002,1453.52002,0
10/10/2008,1436.560059,1436.560059,1436.560059,1436.560059,1436.560059,0
10/13/2008,1602.930054,1602.930054,1602.930054,1602.930054,1602.930054,0
10/14/2008,1594.410034,1594.410034,1594.410034,1594.410034,1594.410034,0
10/15/2008,1450.5,1450.5,1450.5,1450.5,1450.5,0
10/16/2008,1512.209961,1512.209961,1512.209961,1512.209961,1512.209961,0
10/17/2008,1502.839966,1502.839966,1502.839966,1502.839966,1502.839966,0
10/20/2008,1574.5,1574.5,1574.5,1574.5,1574.5,0
10/21/2008,1526.02002,1526.02002,1526.02002,1526.02002,1526.02002,0
10/22/2008,1433.219971,1433.219971,1433.219971,1433.219971,1433.219971,0
10/23/2008,1451.369995,1451.369995,1451.369995,1451.369995,1451.369995,0
10/24/2008,1401.290039,1401.290039,1401.290039,1401.290039,1401.290039,0
10/27/2008,1356.780029,1356.780029,1356.780029,1356.780029,1356.780029,0
